parametro,opciones
Fleje,DEFORMADO|NO LEGIBLE|SIN FLEJE
Recubrimiento,DESPRENDIDO|AMPOLLADO|CORROSION|OXIDACION|DEGRADADO|ABRASION|OTRO
Cuerpo,GOLPE|DEFORMACION|ABRASION|LAVADURA|CORTADO|OTRO
Rosca Hembra,GOLPE|DEFORMACION|ABRASION|LAVADURA|CORTADO|OTRO
Área de Sellado,GOLPE|DEFORMACION|ABRASION|LAVADURA|CORTADO|OTRO
Estado del Elastómero,SIN ELASTOMERO|DEFORMADO|CORTADO|RESECO|DEGRADADO|HINCHADO|OTRO
Anillo Retenedor,GOLPE|DEFORMACION|ABRASION|LAVADURA|CORTADO|OTRO
Insertos,GOLPE|DEFORMACION|ABRASION|LAVADURA|CORTADO|OTRO
Mariposa,GOLPE|DEFORMACION|ABRASION|LAVADURA|CORTADO|OTRO
Piñón,GOLPE|DEFORMACION|ABRASION|LAVADURA|CORTADO|OTRO
Estado del Puerto,GOLPE|DEFORMACION|ABRASION|LAVADURA|CORTADO|OTRO
Espárragos y Tuercas,GOLPE|DEFORMACION|ABRASION|LAVADURA|CORTADO|OTRO
